飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
我身份证丢了，在杭州长沙黄花机场现在去能办临时登机身份证吗？	根据《民用航空安全检查规则》第三十一条用身份证买票持护照过检，原则上不予放行，可请旅客前往机场派出所开具临时乘机证明。用护照买票持身份证过检，旅客可以提供护照复印件或护照照片，与旅客的身份证一起进行比对核实后放行。
长沙黄花机场托运行李内物品丢失的多吗？都怎么处理的啊？	旅客托运行李内部分物品丢失：目的地为长沙的航班，旅客未出机场隔离区可以建议旅客跟行李查询室联系，离开机场建议旅客联系公安机关报案处理；长沙始发的航班建议旅客联系到达机场。
长沙黄花机场贵宾休息室可以接机吗？	专人接送机,代办出港值机手续;
柬埔寨落地签，从长沙黄花机场目前可以出境不？	一月二十八日开始,包括泰国在内的三十七个国家对中国实行有条件落地签,对中国公民持普通护照赴上述国家(地区),出入境边防检查机关查验有效护照和定妥座位的联程客票(直飞航班查验登机牌)无误后放行。须提醒旅客,落地签并非免签,请旅客出发前了解目的国落地签办理相关政策,做好相关准备。
关于办理无人陪伴儿童登机手续	无成人陪伴儿童：是指年龄五周岁（含）至十二周岁（不含）的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受；无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系，如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系84797373办理相关手续；如果是南航航班，可以到A岛问询柜台咨询工作人，或者咨询84799333。送机的无陪儿童家长一般要求留在机场，直到飞机起飞才可以离开。若小孩已过安检，或者已经登机，航班延误时间较长还未起飞，家长担心小孩状况的情况下，可以让家长拨打84797373咨询。如果是南航航班，可以到A岛问询柜台咨询工作人，或者咨询84799333。为无成人陪伴儿童办理乘机手续，座位安排应根据以下原则：安排在便于指定的随机服务员或乘务员照料的适当位置；靠近机上厨房，最好是过道座位；若有可能，与其他旅客分开座位；若座位满座，应安排与女乘客一起的座位；不得安排在紧急出口的座位。国航5-18岁的未成年人都可以申请无陪服务，5-12岁免费，12-18岁的如果需要无陪服务，需收取200元每人每次的服务费。厦航无陪服务长沙受理点：1.市内售票处（长沙市芙蓉中路二段136号）TEL:85168268/855657772.厦航机场售票柜台（长沙黄花国际机场T2航站楼国内出发厅1号和2号门之间）
在黄花机场丢物品后如何找?	旅客在安检处落下的东西会在当天移交失物招领处。
黄花机场里面的wifi怎么用	选择无线网络Airport Free WiFi，通过浏览器打开任意网站，手机短信认证或微信认证，即可成功登录
个人签证的如何从黄花机场过关到香港。	如果香港旅客想从长沙出港到台湾，无论成人还是小孩都不可以用香港护照，必须用回乡卡（港澳居民来往内地通行证）才能从长沙出境。
长沙黄花机场办理临时身份证需要什么条件	i. 符合办理《临时身份证明》的旅客（现役军人除外）须提供户口本或驾驶证、社保卡、暂住证（居住证）、工作证、介绍信，或过期的身份证、护照、《临时身份证明》等任一项身份证明材料（原件或复印件）及两张本人近期1存证件照片。
黄花机场有老人无人陪护送上飞机吗？	老年旅客乘机首先要确认老人身体健康状况是否适应乘机，身体健康的老人有人陪同即可，建议带上医生诊断证明。如果老人身体健康状况欠佳或者无人陪同，建议旅客提前向航司申请，经航司同意后机场才能提供相应的服务。
长沙黄花机场T2可以头天晚上领到第二天早上6:20的登机牌吗	国内值机时间:值机柜台是全开放式,所有旅客可以在航班起飞前三小时开始办理值机手续,起飞前四十分钟停止办理。国际航班值机:柜台是分不同的航空公司开放,二百坐以下的飞机起飞前二小时开始办理值机手续,二百以上提前三小时开始办理值机手续,提前四十分钟结束办理,亚航国际航班提前一小时截止办理登机牌。
无陪护的儿童乘坐飞机的详细流程	无成人陪伴儿童：是指年龄五周岁（含）至十二周岁（不含）的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受；无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系，如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系84797373办理相关手续；如果是南航航班，可以到A岛问询柜台咨询工作人，或者咨询84799333。送机的无陪儿童家长一般要求留在机场，直到飞机起飞才可以离开。若小孩已过安检，或者已经登机，航班延误时间较长还未起飞，家长担心小孩状况的情况下，可以让家长拨打84797373咨询。如果是南航航班，可以到A岛问询柜台咨询工作人，或者咨询84799333。为无成人陪伴儿童办理乘机手续，座位安排应根据以下原则：安排在便于指定的随机服务员或乘务员照料的适当位置；靠近机上厨房，最好是过道座位；若有可能，与其他旅客分开座位；若座位满座，应安排与女乘客一起的座位；不得安排在紧急出口的座位。国航5-18岁的未成年人都可以申请无陪服务，5-12岁免费，12-18岁的如果需要无陪服务，需收取200元每人每次的服务费。厦航无陪服务长沙受理点：1.市内售票处（长沙市芙蓉中路二段136号）TEL:85168268/855657772.厦航机场售票柜台（长沙黄花国际机场T2航站楼国内出发厅1号和2号门之间）
有户籍证明可以不用办理临时乘机证明直接办理登机牌吗？	黄花机场机公安办理临时乘机证明的位置：T2航站楼安检16号通道边设有办理柜台旅客由于特殊原因无法提供有效证件，可通过以下方式办理临时乘机证明。a.需要办理临时登机证明的旅客，可到T2航站楼始发层16号号安检口附近公安执勤点办理。b.异地机场开具的，有标注有效期的临时乘机证明，在有效期内可以在长沙机场直接使用。c.部分地区停止开具户籍证明，改开常住人口基本信息，同样为A4纸打印，有统一格式，内容有照片、户籍信息、户籍公章，效力等同于户籍证明。d. 证件只认可扫描件、复印件以及传真件，用手机拍照下来的或是拍照下来后打印出来的不认可，拍照之后打印出来的能够证明身份的证件，可以在公安执勤点换取临时乘机证明。e.临时登机证明可以提前来机场办理，在证明上标明有效期即可，在有效期以内都可以使用。f.没有公章的常住人口信息和一个有公章的接警证明（有各类信息没有照片）可以换到临时登机证明。g.如果儿童未上户，公安在系统中查询不到其户籍信息，凭出生证明等证件也无法开具临时乘机证明。12周岁以下儿童乘机可以凭户口本，出生证明原件或者复印件。h.12岁以下儿童或婴儿无法提供任何纸质证明，家人也不清楚孩子的任何证件号码，如果已经上户且为湖南省内户口，机场公安办可以根据父母的信息调取孩子的信息，如查实真实有效，可以开具临时登机证明。i. 符合办理《临时身份证明》的旅客（现役军人除外）须提供户口本或驾驶证、社保卡、暂住证（居住证）、工作证、介绍信，或过期的身份证、护照、《临时身份证明》等任一项身份证明材料（原件或复印件）及两张本人近期1存证件照片。j. 无法提供上述身份证明材料的，有其他能够证明其身份的书面材料，申请人应如实提供本人姓名、身份证件号、户籍所在地、家庭住址、同户籍亲属人员情况等相关信息，k.现役军人申请《临时身份证明》，应当提供所在单位保卫或政府部门出具的介绍信原件，经机场公安机关查验无误后签发《临时身份证明》l.根据湖南物价局规定，收取30元办证服务费。m.《临时身份证明》仅限于中华人民共和国国籍（不含港澳台）旅客乘坐国内民航飞机时作为有效乘机证明使用，不得作为其他用途。n.临时乘机证明不能代办，必须本人办理。长沙机场办理临时乘机证明有效期最短为7天，最长为15天，一次性乘机。办理时间一般为5-10分钟/人，具体要看现场操作及排队情况。o.  《临时身份证明》式样统一，在全国民用航空运输机场（不含港澳台）通用、有效。
长沙黄花机场怎么登机？	1、航班起飞前40分钟开始登机，航班起飞前15分钟停止登机，开始登机时机场中央大广播会自动播放登机广播，主要是催促已经办理值机手续但还未过安检的旅客尽快过安检，开始登机后登机口也会有相应区域广播，主要是航班动态、登机口变更以及催促旅客登机广播，该广播覆盖范围有限，若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知，中央大广播记录可联系广播室查询，登机口区域广播可联系候机查询，但广播录音均不可对外。
